measure,location,sex,age,cause,metric,year,val,upper,lower
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,1994,4115.364270171540,7038.822757441560,1847.456323645070
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,1995,4305.832075721450,7398.062355369010,1942.3546853839
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,1996,4545.386343634210,7762.410103735030,2042.3560650433400
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,1997,4855.016582827210,8175.488746759900,2163.022169037120
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,1998,5177.766482092480,8747.268134679030,2323.196016526690
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,1999,5465.381052806440,9277.85544711304,2442.366662204770
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2000,5645.969414951420,9475.548560844880,2553.381792593500
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2001,5749.741946673870,9700.16690709654,2609.1620812372300
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2002,5825.867422923310,9753.450411305220,2693.553063516510
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2003,5881.991989485190,9866.243453296100,2716.164287534190
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2004,5943.1729521699800,9950.301681859850,2781.285032249130
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2005,6017.999532178120,10075.021534092600,2833.706444643590
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2006,6124.194042604030,10182.96762935860,2879.4349154555400
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2007,6233.016813079480,10224.552802901100,2941.7563150874700
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2008,6337.19306485031,10487.592960388100,3030.221268443100
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2009,6420.647278097240,10588.5649238921,3127.7862245978600
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2010,6467.543088039260,10670.554772718800,3131.95963444849
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2011,6449.017718348700,10649.35969141760,3157.178590266870
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2012,6361.161730359650,10667.618462224800,3087.3852154954700
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2013,6249.85219533194,10423.887206925000,3056.128654132820
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2014,6138.826491715970,10187.670642400800,2979.941190198190
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2015,6084.608355550240,10158.690857464000,2962.865835066310
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2016,6084.232181774200,9962.846170710630,2971.8963057043600
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2017,6080.555440975430,9876.600617624090,2950.731688445500
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2018,6073.911433433620,9832.30785111858,2928.5669267573700
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2019,6074.797988971380,9723.991773466320,2919.5285188471400
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2020,6729.52880333846,11173.70567521470,3118.2549532530800
YLDs (Years Lived with Disability),Arkansas,Both,All ages,Depressive disorders,Number,2021,6757.971107365930,11173.701207732400,3166.918679041
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1990,4570.306212974560,7683.408564038460,2063.2341997378000
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1991,4927.166991345660,8334.421168288990,2214.600567935140
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1992,5301.892192169040,9077.037409616530,2392.429862841310
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1993,5678.057021575620,9705.74966540098,2568.7065287260600
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1994,6055.921429048910,10445.892448915700,2746.9010452628400
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1995,6408.251165963360,10956.46013184370,2904.3909556664900
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1996,6805.572784782020,11473.367803889900,3125.022825539600
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1997,7270.937208568020,12352.3893019998,3357.735469514460
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1998,7763.466973278940,12971.810472039300,3598.085610909250
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,1999,8205.236128710460,13568.334983351000,3844.803964773050
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2000,8530.189001755450,14066.66698118980,3999.102541558540
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2001,8726.26767316265,14449.012363916900,4124.409191813190
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2002,8850.658918999580,14517.136492576700,4203.195152281970
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2003,8932.8131410457,14516.824431050400,4285.1431211419700
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2004,9009.626687847690,14798.38078948160,4366.723707597430
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2005,9124.555776408980,15008.20471265130,4460.224097274920
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2006,9297.271632794670,15273.99131954180,4606.319435936680
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2007,9506.351013484710,15562.147519467200,4770.69672441022
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2008,9726.653926773850,15960.82743735950,4994.33589176936
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2009,9922.516334912590,16314.899863073700,5035.279407934780
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2010,10074.576704994400,16568.59829481950,5085.657789035540
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2011,10130.620272229500,16623.800762434900,5091.783601766380
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2012,10086.2957016695,16330.118914116700,5076.074315339210
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2013,9991.32993987702,16072.785500598600,5003.329597987260
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2014,9915.464533075110,15911.44484834600,5001.133722691030
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2015,9938.586749837430,16088.679561739400,4965.6947027400000
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2016,10033.333030825400,16189.0572019305,5001.686742695940
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2017,10123.44769165270,16551.18973012710,5022.721719896670
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2018,10229.504556755200,16893.26807845980,5106.373442176380
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2019,10353.711132206000,17151.557045181600,5101.420109955440
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2020,11511.945974916800,19320.608962673200,5610.771555449730
YLDs (Years Lived with Disability),Colorado,Both,All ages,Depressive disorders,Number,2021,11455.152683490000,19339.12997504660,5523.672841356750
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1990,4346.517872995420,9989.640354792030,1215.0950864004600
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1991,4339.2989347173200,9943.237378438730,1209.982104475040
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1992,4346.039411992110,9971.217412379,1218.1101970628400
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1993,4375.491214304780,9940.44251951708,1246.6669284089200
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1994,4413.720361325960,10017.153858872200,1263.33597626208
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1995,4468.477559030440,9989.769146589790,1309.971534191330
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1996,4650.361993465070,10344.905444118300,1371.4133075047100
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1997,5002.103750316490,11250.810662115500,1462.0410264672000
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1998,5412.056773690370,12153.70142475720,1595.9169133348400
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,1999,5774.3014882254300,13097.44615173460,1707.6239413068000
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2000,5989.957184787800,13738.546472152,1785.2053039448700
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2001,6066.867153469770,13647.39894785500,1806.5685922881700
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2002,6067.402260423060,13403.812264001000,1851.712746199180
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2003,6039.722620644750,13366.278899976400,1839.476243263570
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2004,6023.228878224790,13286.10032900340,1880.638499420750
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2005,6029.425953881930,13261.125349927700,1883.6425545930700
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2006,6085.254684061530,13288.073791125000,1916.360034535020
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2007,6166.152797908270,13240.007531354200,1990.0332954759500
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2008,6248.767282330220,13530.585597867300,2030.8271263301700
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2009,6310.416239533830,13534.415247833300,2064.054645043160
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2010,6334.706829252770,13874.249701377100,2068.452084030690
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2011,6281.244186820160,13776.958837951500,2035.1228473204600
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2012,6147.397879947420,13400.545578139000,1964.9462574975900
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2013,5981.853372388290,12884.615474287200,1864.252427375480
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2014,5848.416709242460,12571.876361739800,1820.7448190974400
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2015,5795.296571706330,12575.612874129300,1789.7662793457900
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2016,5860.810580116830,12702.018171671700,1797.2983569685400
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2017,5999.380498887450,13299.313812932700,1828.247291173440
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2018,6127.647436923080,13800.033174440200,1843.6144351590100
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2019,6141.395127741070,13757.067524290400,1821.1348387987800
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2020,6028.129362717440,13478.45128654930,1663.4762583254300
YLDs (Years Lived with Disability),Illinois,Both,All ages,Anxiety disorders,Number,2021,5997.348579565220,13445.101889490200,1707.8956805919100
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1990,1566.4679787031100,3832.987521687910,413.3038562207580
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1991,1557.787979003240,3807.285237755800,406.4238037012680
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1992,1550.912714302430,3786.219123705000,406.0755053696320
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1993,1549.3742577452200,3802.082068874990,401.5058507548000
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1994,1553.254396094290,3763.585786458120,411.5176137374360
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1995,1558.648563006360,3739.3187577342300,408.46210612227900
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1996,1610.2328578696300,3898.920417625450,430.7333646572850
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1997,1717.2342452910400,4180.123437356500,446.1654797140070
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1998,1846.1082884612900,4576.72862264118,490.85676897020800
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,1999,1957.057894548760,4792.209022889100,526.4595732025150
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2000,2011.400419291160,4931.785320690280,542.9170691022320
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2001,2021.915115128750,4944.244307599340,548.2191670512910
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2002,2015.97235759492,4879.488440395130,546.0748085558240
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2003,2002.715786746320,4842.276122290630,559.0955602308850
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2004,1991.3887909383300,4778.126529576690,574.1005533364470
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2005,1986.6755029856100,4747.124180694050,554.5365885521350
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2006,2000.4648606768200,4798.183701311960,561.989461725529
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2007,2024.309737608150,4799.226612176270,584.6674191431070
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2008,2055.797572114680,4959.846038196590,595.9828496519460
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2009,2075.5592295961300,4954.200989782560,610.5868660342740
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2010,2085.3958963895100,4885.375391297890,616.8552992573640
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2011,2074.408249717270,4770.360307010520,618.9944354043380
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2012,2044.5128012278000,4659.600953578990,605.1697697013730
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2013,2009.768394156070,4591.77106441809,592.0587823435840
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2014,1982.054154417450,4454.641162842040,592.037641787393
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2015,1982.759752095550,4533.56348641054,588.1149169772890
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2016,2025.7298495299100,4564.177730013810,603.3230783041430
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2017,2088.516797446620,4757.632143528680,622.7438511477990
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2018,2143.582405557270,4899.528498012280,616.5859593346720
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2019,2163.298985934560,4972.024047322930,625.5520184385180
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2020,2145.8423666638500,4949.622892164800,602.1688895191000
YLDs (Years Lived with Disability),Indiana,Both,All ages,Anxiety disorders,Number,2021,2158.0318530783200,4978.000692066400,591.4687042715080
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1990,2745.7501354198600,4639.659190668740,1282.1362308834200
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1991,2887.6269191333200,4838.1072131274300,1320.2022492641800
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1992,3027.505687661440,5121.356781008440,1349.563224819700
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1993,3158.2591209166600,5423.607092503650,1399.6925941487200
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1994,3285.914996481620,5540.863144138300,1453.8838950709600
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1995,3409.64583070586,5737.376541429090,1522.6870053281400
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1996,3591.6560264205300,6022.456974198470,1609.5848364446400
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1997,3841.6345484633600,6478.645803187170,1701.7754047919200
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1998,4107.919968634810,6903.092114884770,1840.0453739979900
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,1999,4330.7403678177600,7348.543813813940,1954.8246508397900
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2000,4447.080046878110,7410.954241991480,2021.1213557408300
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2001,4477.076149093030,7548.597837798950,2053.4989582754100
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2002,4484.796425807050,7421.655945538780,2100.053112218190
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2003,4494.450852093520,7403.449769022000,2108.1832868162400
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2004,4520.331341529400,7422.101811588590,2110.303845616770
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2005,4562.4728694497300,7590.298103826520,2128.933452657150
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2006,4629.6114540307100,7658.376578813690,2182.9678023645100
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2007,4709.015410470730,7797.0709886871600,2264.6580478720300
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2008,4785.49190141005,7983.295609202060,2328.2789004152800
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2009,4857.862047094070,8101.171237863500,2405.125341980430
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2010,4895.90344144269,8192.655870045800,2439.0582444962600
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2011,4880.600865661010,8091.389804254600,2425.019006625510
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2012,4794.601138736020,7776.137844385540,2354.7041569962400
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2013,4673.604277087600,7616.513381605090,2301.93569731805
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2014,4570.196374549340,7475.065563836030,2243.765565706580
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2015,4509.513005607680,7438.49366259316,2207.742027795860
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2016,4491.801770051940,7387.543644353440,2228.9668251987900
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2017,4471.984990506040,7229.958523309780,2269.8250738806400
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2018,4459.98429937994,7306.713140370080,2252.161746025590
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2019,4453.032586702860,7316.062097557650,2263.120974970420
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2020,4937.534897550330,8244.409557781480,2371.2742659119000
YLDs (Years Lived with Disability),Connecticut,Both,All ages,Depressive disorders,Number,2021,4750.538982010620,7837.364971610730,2275.8404878744400
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1990,17983.94093652010,31121.58404570970,7995.568654045250
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1991,20116.37495790680,34768.095684573500,8908.828506571690
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1992,22143.91136066450,38412.73391897620,9779.301881041040
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1993,23947.80482546980,41211.794738130300,10519.21615871200
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1994,25398.8545904804,43412.66881194340,11138.270862934200
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1995,26355.742424368900,45316.83888029100,11626.480017551100
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1996,27075.53818143070,45842.3478666162,12064.349231876100
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1997,27800.372340908000,46870.99829265280,12504.279367412700
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1998,28469.451171276700,48103.39841419700,13010.13926099680
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,1999,29120.023922624300,49611.421751876500,13326.30774871490
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2000,29721.252297168,50051.48202010770,13420.238998212200
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2001,30220.79512209510,51162.36254726520,13906.728518012800
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2002,30579.16072361320,50815.223804430700,14108.22167568460
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2003,30957.57854673590,51151.41081075930,14455.35158366980
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2004,31403.98042805200,52030.45118870600,14727.232700207500
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2005,32011.821378566500,52764.95293719780,15390.0559219318
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2006,32779.526752136900,53829.16263843110,15732.19363142390
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2007,33652.45673469900,55510.55642516810,16267.22563898010
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2008,34483.30752702830,56549.16906672940,16865.5820171906
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2009,35270.535933228100,58080.71728189570,17099.257848732900
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2010,35893.26466156100,59806.673600887300,17444.766538952700
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2011,36089.90081890140,59452.091775318,17641.557741405700
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2012,35659.10857527250,58875.93190728920,17573.42040859100
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2013,34961.35022289830,57977.09213157270,16956.837606944000
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2014,34381.24778930680,56873.99329355950,16843.646130839700
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2015,34228.48594041850,56174.53141171490,16798.826941739300
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2016,34491.708786259400,55923.65308401820,16868.385738121600
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2017,34765.665526334900,55735.43377195830,16832.001169846600
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2018,35071.29578593540,56637.74422688650,17198.001575030000
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2019,35475.50666666760,57541.73351582500,17339.967657105600
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2020,40480.42894988870,67339.69008177950,19130.62817864370
YLDs (Years Lived with Disability),Florida,Both,All ages,Depressive disorders,Number,2021,41023.67044764650,69664.37735523890,18859.139141049900
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1990,620.6757258783470,1065.45431415308,273.72049052470500
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1991,650.4001064430220,1135.27328871623,288.48655232169200
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1992,675.9729063296970,1163.009385056860,300.8361796986820
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1993,698.4406032274460,1229.5769448819400,313.4103751564890
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1994,716.2743508180670,1267.8959128994000,319.4541408542510
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1995,728.6167151515280,1281.7346469097200,319.3894114647330
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1996,745.5339744639390,1331.5775847513900,329.1758746334990
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1997,767.1824193411040,1358.0094463050600,340.54049203097500
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1998,790.2716109866600,1403.5166377575500,361.8832601424780
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,1999,811.4663400260510,1411.4266099002900,370.6806290214530
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2000,822.2299303707590,1426.716109200560,371.697978071162
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2001,826.3144009969160,1420.1385140546800,375.1752773719540
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2002,827.2931366992230,1419.4804211762300,378.7449695840250
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2003,828.8997858163250,1416.4735038190500,385.6167670356740
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2004,834.1382941551600,1419.7004311954800,390.9147761412470
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2005,845.0905807532610,1441.085829202960,398.2587011162140
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2006,862.1571263050650,1465.2176750330700,407.3711349007550
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2007,880.4128211267360,1496.3957500036200,417.1984179026000
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2008,896.9325380280900,1528.9999158536000,422.33568709058800
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2009,915.6639269094190,1582.3135510927700,434.3344835739720
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2010,930.2121361482110,1584.0215745934100,444.8621333198570
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2011,934.9209592676050,1594.7370712893000,448.0445800891980
YLDs (Years Lived with Disability),District of Columbia,Both,All ages,Depressive disorders,Number,2012,926.7761906154870,1588.77706797703,441.8464305795120
